mpqa-posCount,mpqa-negCount,BingLiu-posCount,BingLiu-negCount,AFINN-posScore,AFINN-negScore,S140-posScore,S140-negScore,NRC-Hash-Sent-posScore,NRC-Hash-Sent-negScore,NRC-10-anger,NRC-10-anticipation,NRC-10-disgust,NRC-10-fear,NRC-10-joy,NRC-10-sadness,NRC-10-surprise,NRC-10-trust,NRC-10-negative,NRC-10-positive,NRC-10-Expanded-anger,NRC-10-Expanded-anticipation,NRC-10-Expanded-disgust,NRC-10-Expanded-fear,NRC-10-Expanded-joy,NRC-10-Expanded-sadness,NRC-10-Expanded-surprise,NRC-10-Expanded-trust,NRC-10-Expanded-negative,NRC-10-Expanded-positive,NRC-Hash-Emo-anger,NRC-Hash-Emo-anticipation,NRC-Hash-Emo-disgust,NRC-Hash-Emo-fear,NRC-Hash-Emo-joy,NRC-Hash-Emo-sadness,NRC-Hash-Emo-surprise,NRC-Hash-Emo-trust,SentiWordnet-posScore,SentiWordnet-negScore,Emoticons-posScore,Emoticons-negScore,Negation-negationCount,score
0,2,0,2,0,0,2.594,-3.216,2.499,-8.972,0,0,0,0,0,0,0,0,0,0,1.247481,0.712411,1.432655,0.896212,0.660261,0.399578,0.365434,0.688213,3.912358,1.704728,4.663907,0,0.723601,0.510226,0,0.949511,0.340764,0.096614,0,-0.550298,0,0,0,0.938
2,0,0,0,0,0,1.461,-4.635,1.657,-5.858,0,0,0,0,0,0,0,1,0,1,1.028711,0.651617,0.79151,0.945852,0.388586,0.437289,0.51076,0.64031,3.965175,1.356157,1.388628,1.199799,2.661056,1.220922,0.267772,0.016074,0.32129,0.134473,1.182576,-0.875947,0,0,0,0.896
0,0,0,0,0,0,0.901,-2.888,1.682,-4.986,0,1,0,0,0,0,0,0,0,2,0.79147,0.648217,0.500799,0.685068,0.458112,0.463453,0.408603,0.883984,3.104991,2.120542,3.165992,1.871701,0.348634,0.562704,0,0,0.026199,0.668617,0.370536,-0.576042,0,0,1,0.896
1,1,0,1,0,-4,1.807,-10.257,3.526,-18.159,0,0,0,2,0,0,1,0,2,0,0.93845,0.372147,0.914771,0.688122,0.242839,0.881115,0.19774,0.485461,2.628391,1.01307,7.589339,1.058823,1.327044,0.897109,0.47631,3.803074,0.677908,0,1.123214,-0.491865,0,0,0,0.896
0,2,0,1,1,-2,3.614,-4.187,2.097,-9.686,1,1,0,0,1,0,1,1,0,3,1.708873,0.807272,1.201072,1.032914,0.82744,0.687231,0.453415,1.000398,4.877683,2.34769,3.140754,0.852858,1.813778,0.199927,0.110504,0.288509,1.020907,0.453436,0.555556,-1.100153,0,0,1,0.896
0,2,0,1,0,0,0,-1.414,0.471,0,0,0,0,0,0,0,0,0,0,0,0.116016,0.047991,0.08002,0.073727,0.029854,0.051858,0.020031,0.053001,0.437794,0.091732,1.176647,0,0.349379,0.311129,0,0,0.00592,0,0,-0.25,0,0,0,0.875
0,1,1,3,0,-9,1.665,-6.26,4.273,-5.998,0,1,0,1,0,0,0,0,1,0,1.294703,0.70908,1.439291,1.067727,0.536326,0.482251,0.456592,1.009514,3.940043,2.407587,4.242095,0.916756,0.899713,0.418885,0.253243,0.08889,0.726205,0.226777,0.761335,-1.332738,0,0,0,0.875
0,0,0,1,0,-1,0.996,-8.409,2.25,-8.529,0,0,0,0,0,0,1,1,1,0,1.207952,0.701147,0.962341,1.020306,0.365014,0.666023,0.450508,0.79404,4.696079,1.434556,4.125058,2.487578,1.009105,3.106465,0.227185,0,0.31878,0,0.293056,-0.4375,0,0,0,0.875
0,2,0,3,0,-7,1.348,-3.41,1.405,-5.068,1,0,1,0,0,0,0,0,1,0,1.835416,0.528251,1.744971,1.25516,0.471133,1.005528,0.362356,0.754429,4.937415,1.599084,3.928037,0,1.371028,0.177507,0.336569,0.030216,0.412381,0.032616,0,-0.260417,0,0,0,0.875
0,0,1,0,2,-7,3.606,-4.473,1.499,-6.875,0,0,0,0,0,0,0,0,0,0,1.966543,1.152473,1.650029,1.413339,1.233725,1.04773,0.588346,1.407167,5.39966,3.02006,2.469695,0.061206,1.400951,0.053112,0.225111,0,0.967031,0.30093,0.241543,-1.019551,0,0,0,0.875
0,2,0,2,0,-8,1.057,-2.821,1.376,-1.98,2,0,2,1,0,1,0,0,2,0,0.456883,0.38793,0.222596,0.329267,0.268686,0.271456,0.173719,0.41593,1.882849,1.135509,2.374433,0.968777,0,0.039208,0,0.088955,0.046772,0,0.171875,-0.422917,0,0,0,0.667
1,0,1,0,0,0,2,-3.401,0.276,-5.786,0,1,0,0,0,0,0,0,0,0,0.929981,0.77813,0.362557,0.487534,0.626173,0.295366,0.495092,0.587985,2.753611,1.625313,2.717485,0.001125,1.184025,0.333051,0.229401,0.248919,0,0.131416,1.181958,-0.025,0,0,3,0.854
